Items,Average of Apr-22,Average of Mar-23,Average of Apr-23,YoY,MoM
Agric eggs medium size,678.9138724,891.5411686,915.4084833,34.83425815,2.677084973
Agric eggs(medium size price of one),63.99534187,88.22230601,88.17158594,37.77813098,-0.057491201
"Beans brown,sold loose",530.615296,596.9597437,615.6743777,16.03027323,3.134990959
Beans:white black eye. sold loose,519.0500354,576.2044476,584.4199005,12.59413558,1.425787834
Beef Bone in,1508.076874,1856.193992,1887.270281,25.14416958,1.67419402
"Beef,boneless",2026.854063,2479.609558,2495.685227,23.13097786,0.648314537
Bread sliced 500g,450.5144747,561.2142534,577.4147204,28.16785095,2.886681321
Bread unsliced 500g,412.2490384,518.142828,536.0010224,30.01874414,3.446577559
Broken Rice (Ofada),513.502275,584.9540591,601.6136447,17.15890543,2.84801607
Catfish (obokun) fresh,1379.183433,1566.337452,1589.121896,15.22193916,1.45463187
Catfish :dried,2117.292341,2352.148652,2379.974196,12.40649909,1.182984082
Catfish Smoked,1751.456289,1921.309934,1937.262115,10.60864765,0.830276314
Chicken Feet,932.4155504,1108.613176,1115.294981,19.61351143,0.602717471
Chicken Wings,1250.069108,1413.195345,1428.709191,14.29041658,1.09778496
Dried Fish Sardine,1730.644041,1949.975998,1983.193272,14.59278884,1.7034709
Evaporated tinned milk carnation 170g,216.7704443,300.1070962,308.6602885,42.39039344,2.85004669
"Evaporated tinned milk(peak), 170g",253.846209,369.1460484,378.8218242,49.23280743,2.621124047
Frozen chicken,2380.805013,2827.599951,2853.160294,19.84014979,0.903958928
"Gari white,sold loose",318.7409376,353.1588202,362.4982132,13.72816306,2.644530584
"Gari yellow,sold loose",335.1866805,391.379223,399.7818647,19.27140546,2.146930968
"Groundnut oil: 1 bottle, specify bottle",1007.683614,1292.546607,1317.504243,30.74582387,1.93088865
Iced Sardine,1337.698272,1641.960346,1669.575317,24.80955922,1.681829362
Irish potato,448.3803187,557.061188,567.2853629,26.51879203,1.835377359
Mackerel : frozen,1414.151567,1651.540164,1660.032356,17.38715951,0.51419834
Maize grain white sold loose,305.6854715,339.7943906,346.6706937,13.40764477,2.023665871
Maize grain yellow sold loose,304.3538515,343.9177497,349.4623556,14.82107219,1.612189512
Mudfish (aro) fresh,1305.068973,1442.910409,1466.244327,12.34994914,1.617142537
Mudfish : dried,2041.14229,2256.480356,2287.826054,12.08557414,1.389141188
Onion bulb,380.9402763,444.366757,441.3800974,15.86595718,-0.672115899
"Palm oil: 1 bottle,specify bottle",842.7538134,1086.696334,1107.136944,31.37133606,1.880986433
Plantain(ripe),306.754705,400.4325832,412.3938061,34.43764655,2.98707535
Plantain(unripe),288.8217232,366.437185,372.889165,29.10703558,1.760732878
Rice agric sold loose,504.1954262,613.2941368,631.4973915,25.24853632,2.968111644
Rice local sold loose,440.2601966,530.0819659,546.7641431,24.19113681,3.147093902
Rice Medium Grained,494.8823679,597.5030863,609.5736222,23.17545779,2.02016294
"Rice,imported high quality sold loose",612.254696,765.1488532,781.5031494,27.64347168,2.137400603
Sweet potato,227.738719,278.3554841,286.2575654,25.69560706,2.838845215
Tilapia fish (epiya) fresh,1176.898456,1279.928848,1276.123131,8.431031133,-0.297338154
Titus:frozen,1554.347713,1781.658622,1796.456504,15.57623106,0.830567763
Tomato,426.5437273,466.5962734,485.1011725,13.7283569,3.965933744
"Vegetable oil:1 bottle,specify bottle",981.1579592,1220.616517,1239.582565,26.3387361,1.553808875
Wheat flour: prepacked (golden penny 2kg),1047.735212,1275.230427,1295.167496,23.61591763,1.563409133
Yam tuber,361.1982784,443.0203874,444.6909561,23.11546943,0.377086178
