Items,Highest_price,Lowest_price
Agric eggs medium size,1175.33,599.91
Agric eggsmedium size price of one,100.43,68.85
"Beans brown,sold loose",961.74,428.57
Beans:white black eye. sold loose,876.81,410.29
Beef Bone in,2363.62,1493.48
"Beef,boneless",3277.11,1789.67
Bread sliced 500g,830,360
Bread unsliced 500g,781.25,284
Broken Rice Ofada,954.79,450
Catfish obokun fresh,3156,865
Catfish :dried,4532.39,1522.2
Catfish Smoked,2754.29,1478.15
Chicken Feet,2151,366.02
Chicken Wings,2662.5,574.22
Dried Fish Sardine,3482.46,1340.74
Evaporated tinned milk carnation 170g,436.67,240
"Evaporated tinned milkpeak, 170g",455,314
Frozen chicken,4760,1849.3
"Gari white,sold loose",495.56,254.24
"Gari yellow,sold loose",527.14,272.22
"Groundnut oil: 1 bottle, specify bottle",2200,750.33
Iced Sardine,2871.78,1260
Irish potato,1251.23,220.46
Mackerel : frozen,2742.81,1040.57
Maize grain white sold loose,545.62,239.31
Maize grain yellow sold loose,557.48,224.96
Mudfish aro fresh,2218.52,835.67
Mudfish : dried,4052.82,1550
Onion bulbCross ,987.39,163.33
"Palm oil: 1 bottle,specify bottle",1836.06,740.56
Plantainripe,720.75,212.25
Plantainunripe,585.96,211.44
Rice agric sold loose,965.45,420.4
Rice local sold loose,720.32,354.14
Rice Medium Grained,861.9,450
"Rice,imported high quality sold loose",1106.06,626.45
Sweet potato,453.78,165.27
Tilapia fish epiya fresh,2341.67,470.85
Titus:frozen,2792.82,1090
Tomato,950.62,205.26
"Vegetable oil:1 bottle,specify bottle",1694.74,735.33
Wheat flour: prepacked golden penny 2kg,1600,986.67
Yam tuber,920.15,200.37
